"","Ind_Biomass","Ind_Coal","Ind_Briquette","Ind_Gas","Ind_Kerosene","Ind_Gasoil_CN_48","Ind_MDF","Ind_BioGasoil","Ind_Fuel_Oil","Ind_Total_Fuel","Ind_Other_Petroleum_Product","Ind_LPG","Ind_Electricity","Ind_Total","RT_Biomass","RT_Gas","RT_Kerosene","RT_LPG","RT_Electricity","RT_Total","Kom_Biomass","Kom_Gas","Kom_Kerosene","Kom_Gasoil_CN_48","Kom_MDF","Kom_Total_Fuel","Kom_LPG","Kom_Total"
"2022",7205.16747042178,61524.6388350738,28.0206601016885,114244.04375904,0,0,0,24789.2113143695,0,6529.12982751874,0,1047.05962749426,62580.3466044418,258481.668927766,0,719.258408716724,0,74529.5080825383,68711.693396722,112950.350857203,1310.28972584361,840.349664672483,0,0,0,228.35692495384,1822.66581458235,41490.2420505899
"2023",0,6976.9243732084,106.443897428507,105145.577758698,0,0,0,27288.6204290923,0,2765.12427030118,0,1194.12365086058,60095.0190511926,246037.296304392,0,796.76661762427,0,82344.4414644956,66771.2194574997,117728.751735254,1304.27718393277,409.753558820269,0,0,0,0,1635.37209652359,39097.6545105837
"2024",0,0,0,104064.356527347,0,0,0,29960.7843548314,0,0,0,1175.39797646431,63002.2193277566,309414.746703516,0,988.031224136081,0,91403.1024701721,59734.0908716201,114168.938956521,1299.25178050172,337.145876156925,0,0,0,0,1977.83175167936,37511.4340935969
