"Year","Ind_Coal_and_coal_products","Ind_Natural_gas","Ind_Biofuels_and_waste","Ind_Electricity","Ind_Oil_and_oil_products","RT_Oil_products","RT_Natural_gas","RT_Biofuels_and_waste","RT_Electricity","Kom_Oil_products","Kom_Natural_gas","Kom_Biofuels_and_waste","Kom_Electricity"
2017,352804.125896347,613511.255425136,252037.61824293,306764.29203768,278552.466514123,320578.634713647,1125.00642428334,200968.850787167,357665.259256556,27852.921002715,6438.88028708371,8080.21333451497,203990.143821575
2018,388443.080464405,587480.029295069,221519.582921313,308553.777470651,228967.230169136,319121.97154925,1426.89090361412,179105.169229119,381581.01540855,25261.3142825652,6192.51125269556,7827.56367845454,211703.27303718
2019,472521.857679346,657827.692039657,200141.929019632,312192.803426585,101528.770727784,317062.824770628,1563.82560410907,162867.568981492,403278.598097018,19672.2444750219,5108.83133571853,7942.83674959808,222447.177970507
2020,590211.152640019,670813.748688178,170966.260904814,309061.790221364,5591.14404649765,315439.313817891,1842.27502085048,155170.275479076,430705.252108828,16029.9799898083,4126.60838904571,7971.79854009076,232908.529461819
2021,649451.421163232,663562.616286769,131248.263230917,300817.540691755,0,313645.027413648,2159.06974547595,145499.743218062,455933.909596526,9432.16799917755,2884.84642166342,8003.31215883201,242155.36353173
2022,760948.173743019,700465.977658647,94979.4376009964,286313.802546304,0,305222.247229475,2483.88627792604,137199.613245547,480168.592575365,3085.83370011031,1544.52984019292,8069.40362693547,252837.369424505
2023,901050.520178456,739241.200987739,52439.3132539985,269233.912970904,0,299897.310893113,2882.20124385323,132712.124821976,508060.603882455,0,73.7304867072412,8202.70471514955,263687.591981333
