"Year","Variable","Value","Type"
2000,"Ind_Coal_and_coal_products",190475,"Actual"
2000,"Ind_Natural_gas",217493,"Actual"
2000,"Ind_Biofuels_and_waste",360837,"Actual"
2000,"Ind_Electricity",122446,"Actual"
2000,"Ind_Oil_and_oil_products",366133,"Actual"
2000,"RT_Oil_products",412535,"Actual"
2000,"RT_Natural_gas",472,"Actual"
2000,"RT_Biofuels_and_waste",474030,"Actual"
2000,"RT_Electricity",102211,"Actual"
2000,"Kom_Oil_products",58286,"Actual"
2000,"Kom_Natural_gas",1169,"Actual"
2000,"Kom_Biofuels_and_waste",8883,"Actual"
2000,"Kom_Electricity",52516,"Actual"
2001,"Ind_Coal_and_coal_products",195588,"Actual"
2001,"Ind_Natural_gas",275905,"Actual"
2001,"Ind_Biofuels_and_waste",336115,"Actual"
2001,"Ind_Electricity",128134,"Actual"
2001,"Ind_Oil_and_oil_products",372571,"Actual"
2001,"RT_Oil_products",408516,"Actual"
2001,"RT_Natural_gas",513,"Actual"
2001,"RT_Biofuels_and_waste",471845,"Actual"
2001,"RT_Electricity",112424,"Actual"
2001,"Kom_Oil_products",59227,"Actual"
2001,"Kom_Natural_gas",1187,"Actual"
2001,"Kom_Biofuels_and_waste",8834,"Actual"
2001,"Kom_Electricity",56113,"Actual"
2002,"Ind_Coal_and_coal_products",204394,"Actual"
2002,"Ind_Natural_gas",264199,"Actual"
2002,"Ind_Biofuels_and_waste",317150,"Actual"
2002,"Ind_Electricity",132580,"Actual"
2002,"Ind_Oil_and_oil_products",328568,"Actual"
2002,"RT_Oil_products",391255,"Actual"
2002,"RT_Natural_gas",553,"Actual"
2002,"RT_Biofuels_and_waste",470085,"Actual"
2002,"RT_Electricity",114624,"Actual"
2002,"Kom_Oil_products",58456,"Actual"
2002,"Kom_Natural_gas",1204,"Actual"
2002,"Kom_Biofuels_and_waste",8790,"Actual"
2002,"Kom_Electricity",58550,"Actual"
2003,"Ind_Coal_and_coal_products",359027,"Actual"
2003,"Ind_Natural_gas",254705,"Actual"
2003,"Ind_Biofuels_and_waste",302828,"Actual"
2003,"Ind_Electricity",131389,"Actual"
2003,"Ind_Oil_and_oil_products",346413,"Actual"
2003,"RT_Oil_products",397080,"Actual"
2003,"RT_Natural_gas",582,"Actual"
2003,"RT_Biofuels_and_waste",469384,"Actual"
