"Variable","MAE","RMSE","MAPE"
"Temperature",0.112726151400489,0.136271386209099,10.9520950794282
"Emission_GRK",193235413.346894,201463523.407773,10.6426623104865
"Emission_CO2",91239503.8540965,100144078.848505,14.3306452327773
