"Ind_Coal_and_coal_products","Ind_Natural_gas","Ind_Biofuels_and_waste","Ind_Electricity","Ind_Oil_and_oil_products","RT_Oil_products","RT_Natural_gas","RT_Biofuels_and_waste","RT_Electricity","Kom_Oil_products","Kom_Natural_gas","Kom_Biofuels_and_waste","Kom_Electricity","Year"
929690.479528197,637757.56647,372490.414865886,789962.18268094,184645.994542482,443024.428209899,8068.95253769301,104394.49516436,475550.897840191,20179.134304456,0,12965.6963194551,299325.937899688,2024
1185883.98855239,675325.241370689,385330.078914322,885049.578285509,145147.361726291,469350.622243406,11022.0039522045,130180.187763564,493512.940586481,18170.6054963033,0,13895.0607534471,304708.183921243,2025
1604905.2021341,636813.182318861,368668.479861963,999007.644277482,127069.654455945,480409.816250978,14744.3657629184,153725.232387417,498877.995086151,7927.40290749137,0,14839.3842041274,322288.76121934,2026
2060070.04688486,614265.610365609,349217.258866927,1109222.89886538,53155.8701553974,480397.73306513,19175.2665083069,184003.768293795,509158.601780035,0,0,15696.0812170838,343776.562722284,2027
2665404.43920287,589133.533672589,326036.387949078,1219094.31957437,0,494399.681180451,24391.2693631998,217264.222289547,513945.88951041,0,0,16386.5763943887,358139.531639855,2028
3350279.81230429,576210.371145628,288140.249656287,1369755.78206501,0,514174.290132208,30394.4501658117,262199.384634717,513746.929827307,0,0,16849.1963851417,375252.016112037,2029
4198366.66461518,560215.049844429,234627.122788909,1541873.11378215,0,526993.12759147,37334.5243670742,311454.949853681,503557.063605935,0,0,17517.1283354267,400235.472691824,2030
